Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
CHEROKEE-CANTON,212,311,0,2004,2388,3,9,15,0,108,118,0,6,0,0,28,27,0,243,264,2,5738,1343,834,4395,14.53
CHEROKEE-CARMEL,215,360,0,1235,1432,2,22,28,0,97,105,0,0,0,0,31,33,1,217,181,2,3961,1292,892,2669,22.52
CHEROKEE-WOODSTOCK,268,418,0,1796,2252,0,38,51,0,82,132,1,2,6,0,36,41,0,261,288,3,5675,1627,1075,4048,18.94
CHEROKEE-CLAYTON,45,62,0,1288,1417,1,3,1,0,27,36,0,1,2,0,5,10,0,116,113,0,3127,421,192,2706,6.14
CHEROKEE-CONNS CREEK,1,2,0,300,329,0,0,3,0,8,5,0,0,0,0,1,4,0,38,17,0,708,79,24,629,3.39
CHEROKEE-DEER RUN,99,116,0,1091,1237,0,20,23,0,22,37,0,1,5,0,20,16,0,135,133,0,2955,627,359,2328,12.15
CHEROKEE-DIXIE,201,259,0,1972,2225,1,21,38,0,98,128,0,1,2,0,35,42,0,259,245,1,5528,1330,825,4198,14.92
CHEROKEE-FREEHOME,38,32,0,2108,2186,6,13,11,0,31,35,0,2,1,0,14,18,0,209,189,0,4893,593,195,4300,3.99
CHEROKEE-HICKORY FLAT,124,130,0,1974,2208,0,37,36,0,43,82,0,2,2,0,24,32,0,206,187,3,5090,908,512,4182,10.06
CHEROKEE-HIGHTOWER,23,24,0,1270,1400,0,4,12,0,26,19,0,1,0,0,11,10,0,134,112,1,3047,377,130,2670,4.27
CHEROKEE-HILLSIDE,38,34,0,1404,1477,1,11,14,0,14,28,0,0,0,0,10,11,0,123,112,1,3278,396,160,2882,4.88
CHEROKEE-HOLLY SPRINGS,51,60,0,1031,1079,1,8,13,0,42,55,0,1,1,0,11,13,0,99,89,1,2555,444,255,2111,9.98
CHEROKEE-KELLOGG,156,191,0,1736,1977,1,31,26,0,115,136,0,4,5,0,21,36,0,225,216,1,4877,1163,721,3714,14.78
CHEROKEE-LIBERTY,314,415,0,2511,3029,2,44,43,0,141,171,0,2,2,0,45,58,0,338,365,4,7484,1942,1235,5542,16.5
CHEROKEE-LITTLE RIVER,197,259,0,2169,2722,2,47,57,0,109,151,0,4,2,0,47,41,1,318,351,3,6480,1587,915,4893,14.12
CHEROKEE-MACEDONIA,67,87,0,1710,1842,0,15,27,0,34,56,0,0,3,0,12,16,0,190,175,1,4235,683,317,3552,7.49
CHEROKEE-MOUNTAIN ROAD,28,27,0,1256,1345,0,7,10,0,29,37,0,1,2,0,17,14,0,130,97,0,3000,399,172,2601,5.73
CHEROKEE-OAK GROVE,84,120,0,1311,1450,0,15,20,0,34,47,0,2,0,0,17,11,0,182,145,0,3438,677,350,2761,10.18
CHEROKEE-R M MOORE,14,16,0,1241,1316,0,6,8,0,19,26,0,2,0,0,8,8,0,90,74,1,2829,272,107,2557,3.78
CHEROKEE-R T JONES,77,137,0,782,885,0,4,13,0,81,83,0,1,2,0,17,11,0,98,79,0,2270,603,426,1667,18.77
CHEROKEE-ROSECREEK,44,61,0,1515,1657,2,12,17,0,39,53,0,0,0,0,12,20,0,148,134,5,3719,545,258,3174,6.94
CHEROKEE-SALACOA,5,1,0,283,281,0,1,2,0,3,7,0,1,0,0,5,2,0,22,22,0,635,71,27,564,4.25
CHEROKEE-SIXES,46,44,0,1169,1246,0,14,18,0,18,27,0,3,3,0,10,12,0,111,89,4,2814,399,195,2415,6.93
CHEROKEE-SUTALLEE,18,17,0,948,973,0,5,5,0,27,24,0,0,0,0,8,6,0,89,94,0,2214,293,110,1921,4.97
CHEROKEE-TEASLEY,123,156,1,2653,3006,2,27,49,1,120,116,1,4,2,0,24,40,1,281,285,3,6895,1234,665,5661,9.64
CHEROKEE-TOONIGH,126,196,1,2236,2547,0,24,33,0,72,81,0,3,5,0,34,33,0,253,246,4,5894,1111,608,4783,10.32
CHEROKEE-UNION HILL,47,59,0,1478,1611,3,10,18,1,18,16,0,1,0,0,12,17,0,139,120,2,3552,460,199,3092,5.6
CHEROKEE-UNIVETER,78,80,0,2000,2182,1,16,15,0,56,48,0,3,1,0,15,15,0,172,176,3,4861,678,327,4183,6.73
CHEROKEE-VICTORIA,46,56,0,1216,1258,2,5,11,0,25,25,0,2,1,0,14,15,0,109,103,0,2888,412,200,2476,6.93
CHEROKEE-WALESKA,10,14,0,1030,1092,1,2,5,0,14,7,0,1,1,0,6,6,0,101,91,0,2381,258,66,2123,2.77
CHEROKEE-WILDCAT,52,51,0,1223,1344,2,6,13,0,43,48,0,1,2,0,12,16,0,101,105,1,3020,451,244,2569,8.08
CHEROKEE-WOODLANDS,120,123,0,1193,1360,0,54,47,0,93,108,0,1,2,0,21,26,0,195,160,0,3503,950,595,2553,16.99
CHEROKEE-NEESE,195,239,1,2441,2875,2,44,56,0,132,149,1,2,1,0,44,43,0,283,288,3,6799,1481,907,5318,13.34
CHEROKEE-88888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100
CHEROKEE-99999,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,1,50
CHEROKEE-Total,3916,5029,3,63291,70527,47,744,970,2,2226,2681,3,63,63,0,823,875,5,7030,6657,59,165014,31149,17403,133865,10.55
CLARKE-1A,340,460,0,642,747,2,3,7,0,41,43,0,0,2,0,9,16,0,145,141,3,2601,1210,921,1391,35.41
CLARKE-GAINES SCHOOL,404,645,1,928,1025,2,19,25,0,28,44,0,0,3,0,22,23,0,191,216,2,3578,1623,1214,1955,33.93
CLARKE-WHIT DAVIS SCHOOL,69,90,0,839,985,3,14,20,0,17,21,0,1,0,0,13,11,0,164,143,3,2393,566,256,1827,10.7
CLARKE-1D,196,219,0,968,1080,1,16,29,0,19,26,1,0,0,0,15,18,0,131,147,0,2866,817,539,2049,18.81
CLARKE-2A,874,1134,1,427,521,3,2,2,0,87,81,0,0,0,0,14,17,1,185,169,4,3522,2571,2213,951,62.83
CLARKE-2B,1135,1634,3,688,692,4,36,42,0,42,48,1,1,0,0,35,29,0,272,248,10,4920,3536,3006,1384,61.1
CLARKE-3A,518,875,1,440,516,3,17,8,0,22,26,0,0,1,0,11,21,0,142,142,5,2748,1789,1500,959,54.59
